Year,Job_Type,Salary,Year,Tuition_Type,Tuition,Inflation_Factor
1999,All,95737.44,1999,nominal,22228.00,1.553487395
1999,Full,118499.15,1999,inflation_adj,34530.92,1.553487395
1999,Assoc,84106.44,2000,nominal,23094.00,1.502967481
1999,Assist,68567.89,2000,inflation_adj,34709.53,1.502967481
2000,All,98314.24,2001,nominal,23995.00,1.462209041
2000,Full,120336.19,2001,inflation_adj,35085.71,1.462209041
2000,Assoc,86407.47,2002,nominal,24930.00,1.438638134
2000,Assist,68847.92,2002,inflation_adj,35865.25,1.438638134
2001,All,96441.50,2003,nominal,25902.27,1.406581522
2001,Full,122184.96,2003,inflation_adj,36433.65,1.406581522
2001,Assoc,87548.52,2004,nominal,27171.48,1.37009529
2001,Assist,71244.72,2004,inflation_adj,37227.52,1.37009529
2002,All,98782.25,2005,nominal,28667.00,1.325197132
2002,Full,124735.33,2005,inflation_adj,37989.43,1.325197132
2002,Assoc,91073.16,2006,nominal,30194.00,1.283784723
2002,Assist,71824.90,2006,inflation_adj,38762.60,1.283784723
2003,All,101582.40,2007,nominal,31794.00,1.248232388
2003,Full,127045.88,2007,inflation_adj,39686.30,1.248232388
2003,Assoc,94992.48,2008,nominal,33479.00,1.202078002
2003,Assist,77614.45,2008,inflation_adj,40244.37,1.202078002
2004,All,113327.87,2009,nominal,35124.00,1.206369998
2004,Full,135908.77,2009,inflation_adj,42372.54,1.206369998
2004,Assoc,105092.97,2010,nominal,36683.00,1.186901529
2004,Assist,84679.73,2010,inflation_adj,43539.11,1.186901529
2005,All,113029.54,2011,nominal,38886.00,1.150583047
2005,Full,136785.54,2011,inflation_adj,44741.57,1.150583047
2005,Assoc,102905.57,2012,nominal,40809.00,1.127255068
2005,Assist,80994.38,2012,inflation_adj,46002.15,1.127255068
2006,All,113745.96,2013,nominal,42849.00,1.110981854
2006,Full,137334.51,2013,inflation_adj,47604.46,1.110981854
2006,Assoc,102225.14,2014,nominal,45377.00,1.093247331
2006,Assist,76297.52,2014,inflation_adj,49608.28,1.093247331
2007,All,118542.80,2015,nominal,46966.00,1.091951211
2007,Full,139887.02,2015,inflation_adj,51284.58,1.091951211
2007,Assoc,106370.36,2016,nominal,48376.00,1.078347714
2007,Assist,83860.32,2016,inflation_adj,52166.15,1.078347714
2008,All,113222.19,2017,nominal,49949.00,1.055854275
2008,Full,134946.54,2017,inflation_adj,52738.87,1.055854275
2008,Assoc,102143.64,2018,nominal,51447.00,1.030680148
2008,Assist,75018.25,2018,inflation_adj,53025.40,1.030680148
2009,All,114616.44,2019,nominal,52524.00,1.012336842
2009,Full,135710.35,2019,inflation_adj,53171.98,1.012336842
2009,Assoc,98883.78,2020,nominal,55000.00,1
2009,Assist,71979.86,2020,inflation_adj,55000.00,1
2010,All,112913.36,null,null,null,null
2010,Full,132801.05,null,null,null,null
2010,Assoc,97786.32,null,null,null,null
2010,Assist,72093.49,null,null,null,null
2011,All,112873.86,null,null,null,null
2011,Full,133124.42,null,null,null,null
2011,Assoc,99181.72,null,null,null,null
2011,Assist,77205.26,null,null,null,null
2012,All,112617.27,null,null,null,null
2012,Full,135365.06,null,null,null,null
2012,Assoc,100768.22,null,null,null,null
2012,Assist,78223.35,null,null,null,null
2013,All,117099.40,null,null,null,null
2013,Full,138430.60,null,null,null,null
2013,Assoc,102212.00,null,null,null,null
2013,Assist,81658.50,null,null,null,null
2014,All,116644.44,null,null,null,null
2014,Full,140476.20,null,null,null,null
2014,Assoc,103744.68,null,null,null,null
2014,Assist,80131.56,null,null,null,null
2015,All,118718.96,null,null,null,null
2015,Full,140171.30,null,null,null,null
2015,Assoc,106356.43,null,null,null,null
2015,Assist,82091.10,null,null,null,null
2016,All,114707.40,null,null,null,null
2016,Full,139827.47,null,null,null,null
2016,Assoc,108464.04,null,null,null,null
2016,Assist,78909.99,null,null,null,null
2017,All,113941.11,null,null,null,null
2017,Full,137673.52,null,null,null,null
2017,Assoc,104273.29,null,null,null,null
2017,Assist,79024.61,null,null,null,null
2018,All,110116.90,null,null,null,null
2018,Full,137488.17,null,null,null,null
2018,Assoc,101035.40,null,null,null,null
2018,Assist,75825.51,null,null,null,null
2019,All,105279.20,null,null,null,null
2019,Full,137672.80,null,null,null,null
2019,Assoc,102242.30,null,null,null,null
2019,Assist,84020.90,null,null,null,null
2020,All,102411.45,null,null,null,null
2020,Full,134729.29,null,null,null,null
2020,Assoc,98242.92,null,null,null,null
2020,Assist,79876.90,null,null,null,null
